0-0.xml	10-5.xml	20-20.xml	30-45.xml	40-80.xml	50-125.xml	60-180.xml	70-245.xml	80-320.xml	90-405.xml	100-500.xml	
192	62	63	69	90	136	416	1342	6848	29363	29104
42	63	62	70	80	177	443	1221	3812	28677	47417
88	48	64	52	74	174	363	1011	2265	25842	61873
39	67	49	70	75	130	401	1218	3342	21575	57176
52	46	67	68	93	183	540	1174	2830	22520	56380
58	48	49	69	80	205	583	1113	4616	20290	30644
50	63	49	68	75	156	485	1444	2507	38408	44163
57	48	49	63	76	236	542	1064	2521	23825	34868
42	60	63	67	92	186	811	1157	2934	40154	59990
56	48	59	79	125	225	651	1681	3184	25854	57638
67	63	64	71	90	172	498	1065	3131	13439	49981
55	47	48	68	86	137	443	1000	3418	29281	81672
53	46	47	84	80	164	464	2062	2892	29757	106078
51	48	62	52	72	175	695	964	2668	25315	54035
57	56	61	68	100	128	755	1907	2789	26357	56674
53	46	65	68	92	209	468	1671	2400	22150	75029
32	47	80	69	77	161	376	899	2978	19687	67905
52	48	64	67	81	121	697	1141	3589	20556	64837
41	48	63	68	99	199	554	1153	2401	40589	74610
49	47	49	67	96	149	667	1280	3528	39314	53307
32	47	48	67	83	162	508	1056	3234	29246	96682
57	60	50	68	99	162	937	1231	3272	35577	53891
57	47	48	69	77	138	714	1132	2773	21648	52701
43	46	48	53	79	186	499	1123	4992	31155	69534
59	46	47	68	76	183	446	1321	2318	21524	47622
77	46	56	79	109	181	424	1266	4116	30313	53920
54	48	47	67	75	192	615	1587	2830	37442	55423
51	46	49	67	81	202	481	1620	2869	22326	46597
51	47	64	67	87	166	544	1036	2899	21654	83046
28	61	63	68	91	184	432	1374	3510	18942	40859
67	45	65	69	93	142	619	1082	2252	19599	67602
55	46	48	67	86	238	528	1186	3203	40475	47279
43	64	48	67	79	229	693	1374	2410	20402	53934
73	47	66	72	90	137	352	1533	3178	25574	37910
53	46	64	68	90	170	519	1451	2566	21274	55126
57	76	65	71	78	209	357	1172	4030	29312	45161
65	61	36	68	87	178	366	817	3366	25060	36144
58	47	47	70	100	193	695	1549	4559	26260	86251
57	64	45	67	77	167	510	886	2206	20111	54550
59	47	48	68	78	190	498	983	4093	25436	70729
53	46	64	53	96	214	506	1104	3409	19029	58223
55	50	48	67	80	198	728	1225	2577	18445	68050
57	78	48	72	77	178	575	1082	1414	21689	41570
44	62	50	70	94	215	471	1046	2964	22811	58338
43	47	49	84	78	154	598	1423	3314	49444	44551
59	47	47	68	71	156	449	807	3037	19126	65761
43	47	50	51	84	173	479	987	2811	33500	57716
58	61	64	50	93	179	422	1261	3452	20688	88092
34	47	63	66	78	174	408	1879	2897	24384	86058
50	47	62	68	95	157	454	954	2972	29661	38529